Título,Empresa,Ubicación,Publicado en,Descripción,Enlace
Back end Developer - Chile,Raven,"Santiago, Chile (+1 other)",Lever,"About us

We are Raven, a unique blend of consulting, creative and technology capabilities united with a single focus: We ideate, build, and launch new value propositions that materialize our clients' potential. Our unique approach underpins the creation of emerging propositions capable of generating or capturing new value.

We untap New Horizons. In a world that faces unprecedented challenges both from a business and market dynamics, with the increasing demand of an evolving customer and collaborator, we are the wingman of our clients to cope with their growth challenges.

Just for a Few. We support leaders and market creators to innovate commercial disruptions and accelerate growth, combining strategy, design, innovation, and technology. Many organizations preach the same promise, but only a few delivers on it. We are among those.

Global Reach. Since our inception, we have developed projects with top-tier organizations throughout Latin America and Europe. We are currently expanding beyond.

We are not a consulting Company. We work differently from traditional consultants. We are not another consulting boutique, nor we want to be. We are fast and agile as a start-up, but precise and narrow focus on delivering value to our clients.

For you. We support your professional and personal development. We provide freedom to develop and a unique work environment that rewards each member of our team professionally and personally.

Our Verticals. We organize across four business lines: Business, Experience, Growth and Tech. These business lines create a seamless and yet synergetic value proposition for our clients.

We Think to Design. We build to Sell. This is what we do, we conceive unique value propositions that then we take to market!

About you

We look for individuals who dare to challenge themselves to achieve the extraordinary. Here comes the ones who change things trying to get there faster where no one has gone. Making things happen delivering results without limits.

Here comes those who transform the present to conquer the businesses of the future, and the ones who release change through design. You must think, act, and behave with an owner's mentality that is permanently reinventing itself.

Here are those of us who want to make the imposible posible.

Our work place

You must be a natural team player and should feel comfortable working with professionals from diverse disciplines, backgrounds, and countries.

We embrace work-life balance: the well-being of our people is a priority for us.

A culture of learning and creating is promoted around the world: diversity will allow us to strengthen our impact.

We encourage innovation and disruption.

We understand that changes will occur, and that adaptability is essential to help when they do happen.

Collaboration is emphasized and rewarded.

Tu Rol

Si te apasiona el desarrollo de soluciones digitales centradas en usuarios, entonces nos interesa conocerte. Buscamos un Desarrollador Back End motivado y comprometido, con interés en el aprendizaje constante y el trabajo en equipo en un ambiente ágil.

En esta posición trabajarás junto a profesionales de primer nivel en el desarrollo de proyectos para importantes empresas en la región, los que desafiarán y potenciarán tus habilidades. Llevarás a cabo soluciones para diferentes tipologías de proyectos, dependiendo del requerimiento de nuestros clientes. Serás parte de un equipo que trabaja de manera flexible y con habilidades de primer nivel.

Responsabilidades

- Trabajar en conjunto con diseñadores y desarrolladores, asegurando la entrega de valor incremental y continua:

- Proponiendo soluciones nativas/híbridas e innovadoras a lo largo del proceso de diseño

- Traduciendo el diseño de interfaz de App o web a código aplicando buenas prácticas

- Participando activamente en el desarrollo sistemático de soluciones

- Documentando funcionalidades y especificaciones técnicas del software a implementar / implementadas

Habilidades y experiencias deseadas

• Diseño, desarrollo y mantener aplicaciones backend utilizando Java y Spring Boot.

• Configurar y desplegar aplicaciones en contenedores OpenShift.

• Nivel de madurez alto en AWS como proveedor de servicios Cloud. Ideal certificación Developer Asociate o Solutions Arquitect

• Conocimiento de Java 8+, Spring Boot/Cloud, Docker.

• Conocimiento de Swagger y OpenAPI

• Conocimiento básico en Google Cloud Platform o nubes públicas como AWS o Azure

• Conocimiento de PaaS, deseable Kubernetes

• Conocimiento y experiencia de herramientas de Infraestructura como Código (IAC), tales como Terraform, Cloudformation, Ansible, etc.

• Experiencia en desarrollo de arquitecturas orientada a micro servicios, integración y arquitectura, utilizando tecnología Serverless.

• Conocimiento de Devops en general (Implementación de CI/CD con Github Actions, Jenkins, CI/CD Pipelines o afines)

• Manejo básico DevSecOps y herramientas de escaneo de código (SonarQube)

• Conocimiento básico de Mixpanel, Google Analytics, Appsflyer, Firebase y afines

• Deseable conocimiento básico de BPM y motores de reglas (Camunda, drools, etc.)

• Experiencia en test unitarios, al menos en la capa de dominio con Jest en NodeJS y ReactJS

• Experiencia con manejo de repositorios y despliegue de código (GITHUB, Bitbucket, etc)

• Manejo sólido de bases de datos (MySQL , MongoDB, PostgreSQL)

• Conocimientos de Back end (PHP, Java, .net) deseable

• Deseable conocimiento de programas de diseño (Adobe XD, Figma)

• Manejo sólido de PostMan y JMeter

Our benefits!

🚀 We are working on new rewards tailored to the market for 2025

👏 Your salary can be paid in USD.

🎁 My Birthday: Afternoon off on your birthday

🚚 Moving Day: we support that you can move in calmly and settle into your new home

🔎 Raven Hunters: You can recommend profiles that you know and that you think can make a perfect match with our organization

🐦‍⬛ Raven allows you to work remotely in your country.",No disponible
Desarrollador Back-end (.NET),Lisit,"Providencia, Chile",Get On Board,"En LISIT, nos enfocamos en crear, desarrollar e implementar servicios de software innovadores que faciliten herramientas de automatización y optimización para nuestros clientes. Trabajamos estrechamente con organizaciones para mejorar su operatividad a través de un acompañamiento consultivo que incorpora diferentes tecnologías y prácticas a medida. Este proyecto implica un desafío con tecnologías de integración SAP, donde buscamos optimizar procesos y contribuir al éxito y transformación de nuestros clientes.
• Proyecto desafiante con tecnologías de integración SAP.
• Flexibilidad total y trabajo 100% remoto.
• Posibilidad de extensión del contrato según desempeño y necesidades del proyecto.

Funciones del cargo
• Desarrollar y mantener soluciones BackEnd en .NET con C#.
• Implementar y optimizar APIs REST, gRPC y SOAP.
• Trabajar con bases de datos Oracle (packages, triggers, jobs) y SQL Server (stored procedures, T-SQL).
• Usar Git para control de versiones y colaborar con el equipo de desarrollo.
• Participar en la planificación y mejora de procesos en entornos ágiles.

Requerimientos del cargo
• Experiencia sólida en desarrollo con C# y .NET (Framework 4.5+ y .NET 6+).
• Conocimiento avanzado en bases de datos relacionales (Oracle, SQL Server).
• Experiencia en el desarrollo y consumo de APIs (REST, gRPC, SOAP).
• Familiaridad con Git y metodologías de control de versiones.
• Capacidad para trabajar en equipo de manera colaborativa y efectiva.

Opcionales
• Conocimiento en tecnologías frontend como HTML, CSS, JavaScript.
• Conocimiento con Ruby y Ruby on Rails es un plus.
• Desarrollo Full-Stack: Experiencia en el desarrollo full-stack, incluyendo tanto el lado del servidor (backend) como el lado del cliente (frontend).
• Conocimientos en Seguridad: Conciencia y prácticas de seguridad en el desarrollo de software, middleware de seguridad en APIs, policys y diseño de software en pos de la ciberseguridad.

Condiciones
• Trabajo 100% remoto y flexibilidad.
• Oportunidades de crecimiento y aprendizaje continuo.
• Cultura innovadora en un equipo dinámico y en constante evolución.
• Proyectos desafiantes en el mundo de la consultoría tecnológica.

Remote work policy

Locally remote only

Position is 100% remote, but candidates must reside in Argentina, Peru, Chile, Venezuela, Colombia or Uruguay.",No disponible
Python Backend Developer,Twine,"Victoria, Chile",Dive Into Python,"About Twine

We're a thriving ecosystem of top-tier freelancers from around the world. Trusted by Fortune 500 companies and Silicon Valley startups, Twine is the go-to platform for mission-critical projects. Twine's experts get to participate in generating quality datasets at an unprecedented scale. With over half a million registered freelancers and a growing roster of 35,000+ companies, we've become the comprehensive solution for all things freelancing.",No disponible
Python Backend Developer,Skye Group,"Santiago, Chile",Indeed Chile,"We’re looking for your talent! This is a 100% remote position, open to applicants from LATAM.

Are you ready to take the next step in your career and join a dynamic, innovative team at one of the top travel companies nationwide? We are seeking a passionate and talented Backend Developer to help shape the future of travel technology for one of our clients. We are proud to represent this client in their search for fresh talent. If you’re proactive, eager to tackle new challenges, and ready to contribute innovative ideas, we’d love to hear from you.

Job Description:

As a Backend Developer, you’ll be a key player, working on exciting projects that directly impact our client’s growth and success. You’ll have the opportunity to collaborate with highly qualified professionals, learn, and develop your skills in a positive and constantly evolving work environment.

Responsibilities:
• Develop features for the Travel Commerce Platform.
• Work on integrating the LCC API of LATAM.
• Communicate with the Triptech Lead of Air.
• Carry out activities pertaining to Backend Developer skills.
• Stay up-to-date with emerging technologies and industry trends

Requirements:
• 5+ years of strong experience with Python and Django, with a continuous desire to improve your skills.
• Experience with asynchronous programming (asyncio, aiohttp).
• B2+ (upper intermediate) level of English, ready for daily communication.
• Ability to write unit tests and autotests.
• Familiarity with at least one RDBMS (Postgres) and NoSQL solutions (MongoDB).
• Experience with Docker and Kubernetes.
• Experience with Elasticsearch.

Skills and Competencies:
• High level of responsibility and independence.
• Experience contributing to an open-source project (desirable).
• Experience mentoring newcomers and leading small project groups.

Location and Modality:
• 100% remote position, open to applicants from Mexico and other countries in Latin America.

Benefits:
• Registration in IMSS (Mexican Social Security Institute).
• 15 days of year-end bonus (aguinaldo)
• Legal vacation days (12 days).
• Vitae Membership (medical assistance, personal and funeral accident insurance, assistance services, discount networks, digital banking, business evolution, etc.).
• Major Medical Expenses Insurance (SGMM).
• Excellent professional growth opportunities with leading companies in Mexico and worldwide.
• Specialized training in relevant topics and high-expertise areas for employee specialization growth (minimum once a year).
• Certified excellent work environment and organizational culture by Great Place To Work.
• Annual performance reviews for improvement opportunities and economic considerations.

How to Apply:

If you’re ready to join a company where your ideas are valued and your growth is a priority, don’t hesitate to apply! Send your CV through this platform or email it to gina.hovelman@skye.group . We’re excited to meet you and explore how we can grow together!

Job Type: Full-time

Pay: $3,448,430 - $3,831,588 per month

Application Question(s):
• Do you have experience with asynchronous programming? For example asyncio or aiohttp
• Do you have experience with Docker and Kubernetes?
• Do you have experience with ElasticSearch?
• Do you know how to write unit tests or autotests?
• Are you familiar with PostgreSQL and MongoDB?

Experience:
• Python: 5 years (Required)
• Django: 5 years (Required)

Language:
• English (Required)",No disponible
Back-end Technical Lead (.NET / C#),TCIT,"Providencia, Chile",Get On Board,"Una de nuestras misiones en TCIT es descubrir y potenciar a los mejores talentos, por lo que te invitamos a ser parte de nuestro team!
Estamos trabajando en conjunto a un equipo especializado que lidera la modernización tecnológica en el banco de inversiones más grande de Latinoamérica.
Si quieres ser parte de este desafío, participarás en proyectos clave de transformación digital, migrando aplicaciones críticas a la nube y desarrollando soluciones innovadoras que impulsan la eficiencia operativa en el sector financiero.
Este entorno dinámico es ideal para quienes buscan contribuir al éxito de una institución líder y crecer profesionalmente en un contexto de excelencia tecnológica.
¡Súmate a la revolución digital!

¿Qué harás?
• Liderar y coordinar al equipo de ingenieros backend, asegurando el cumplimiento de objetivos del/los proyecto/s
• Guiar y empoderar al equipo: Brindar mentoría y soporte técnico al equipo de desarrollo, ayudando a superar desafíos y promoviendo el crecimiento técnico.
• Supervisar y realizar procesos de migración y modernización de aplicaciones y sistemas hacia entornos cloud utilizando herramientas y servicios de vanguardia
• Diseñar y desarrollar APIs RESTful para garantizar la integración eficiente entre sistemas.
• Apoyar en definiciones de arquitecturas tecnológicas para migraciones y modernizaciones desde aplicaciones legacy a la nube, según definiciones de arquitecto de soluciones
• Liderar la implementación de soluciones basadas en microservicios en entornos cloud.
• Apoyar proyectos de transformación digital en la organización, promoviendo buenas prácticas de desarrollo y tecnologías modernas.
• Guiar y colaborar con equipos multidisciplinarios para asegurar la calidad de las aplicaciones y arquitecturas.
• Resolver problemas complejos y tomar decisiones clave.
• Implementar y gestionar pipelines CI/CD para garantizar la automatización de procesos y garantizar la calidad de los despliegues.
• Utilizar herramientas de monitoreo y logging para optimizar el rendimiento de las aplicaciones.
• Colaborar estrechamente con stakeholders internos y externos para garantizar el éxito de los proyectos.
• Investigar nuevas tecnologías para promover la innovación y mejora continua en los proyectos.
• Establecer estándares técnicos: Asegurar el cumplimiento de mejores prácticas en desarrollo, seguridad, desempeño, monitoreo y gobernanza en la nube.

¿Cómo nos gustaría que fueras?
• Título de Ingeniería en informática o carreras afines
• Experiencia de al menos 5 años en desarrollo backend (java y/o .Net C#)
• Experiencia de al menos 1 año liderando equipos de desarrollo
• Dominio de al menos uno de los siguientes lenguajes: JavaScript o Python.
• Experiencia en diseño y desarrollo de APIs RESTful.
• Experiencia de al menos 2 años trabajando con servicios en la nube, preferentemente AWS
• Conocimientos avanzados en bases de datos SQL y NoSQL.
• Experiencia en el uso de contenedores
• Experiencia con pipelines CI/CD y control de versiones (Git).
• Excelentes habilidades de liderazgo, comunicación y trabajo en equipo.
• Proactividad, orientación a resultados y adaptabilidad al cambio.
• Inglés intermedio - avanzado (excluyente)
• Disponibilidad para trabajar de manera presencial en nuestras oficinas ubicadas en Las Condes

Te amaríamos más si tuvieras/fueras:
• Deseable experiencia en el sector bancario o fintech
• Deseable experiencia con Event Driven Architecture
• Deseable conocimiento en microservicios y metodologías modernas de desarrollo
• Deseable Portugués

Beneficios TCIT

🚇 Oficinas accesibles: A solo pasos del metro, porque sabemos que tu tiempo es valioso.
🕒 Flexibilidad que se adapta a ti: Contamos con permisos flexibles para que tengas el equilibrio que necesitas.
🌴 ¡Más días de descanso! Disfruta de más días de vacaciones y recarga energías.
🎁 Beneficios increíbles: Accede a cientos de convenios y oportunidades con Caja de Compensación Los Andes y ACHS.
🎓 ¡Certifícate gratis! Somos Google Partners, y te damos acceso gratuito a certificaciones para que sigas creciendo.
🔧 Equipos y soporte técnico: ¡No te preocupes por las herramientas! Te entregamos un computador y cubrimos cualquier falla técnica.
☕ Recarga energías: Contamos con una estación de cafetería para que siempre estés a gusto.
🎉 ¡Ven a compartir! Los asados y reuniones son parte de nuestra cultura; cualquier excusa es buena para celebrar.
💼 Además de los nuestros, disfrutarás de los exclusivos beneficios de nuestro cliente, que se detallarán durante el proceso de selección.

Outdoors

The premises have outdoor spaces such as parks or terraces.

Internal talks

TCIT offers space for internal talks or presentations during working hours.

Meals provided

TCIT provides free lunch and/or other kinds of meals.

Bicycle parking

You can park your bicycle for free inside the premises.

Computer repairs

TCIT covers some computer repair expenses.

Commuting stipend

TCIT offers a stipend to cover some commuting costs.

Computer provided

TCIT provides a computer for your work.

Informal dress code

No dress code is enforced.

Vacation over legal

TCIT gives you paid vacations over the legal minimum.

Beverages and snacks

TCIT offers beverages and snacks for free consumption.",No disponible
Back end Developer - Chile,Raven.inc,Anywhere,LinkedIn,"About Us

We are Raven, a unique blend of consulting, creative and technology capabilities united with a single focus: We ideate, build, and launch new value propositions that materialize our clients' potential. Our unique approach underpins the creation of emerging propositions capable of generating or capturing new value.

We untap New Horizons. In a world that faces unprecedented challenges both from a business and market dynamics, with the increasing demand of an evolving customer and collaborator, we are the wingman of our clients to cope with their growth challenges.

Just for a Few. We support leaders and market creators to innovate commercial disruptions and accelerate growth, combining strategy, design, innovation, and technology. Many organizations preach the same promise, but only a few delivers on it. We are among those.

Global Reach. Since our inception, we have developed projects with top-tier organizations throughout Latin America and Europe. We are currently expanding beyond.

We are not a consulting Company. We work differently from traditional consultants. We are not another consulting boutique, nor we want to be. We are fast and agile as a start-up, but precise and narrow focus on delivering value to our clients.

For you. We support your professional and personal development. We provide freedom to develop and a unique work environment that rewards each member of our team professionally and personally.

Our Verticals. We organize across four business lines: Business, Experience, Growth and Tech. These business lines create a seamless and yet synergetic value proposition for our clients.

We Think to Design. We build to Sell. This is what we do, we conceive unique value propositions that then we take to market!

About You

We look for individuals who dare to challenge themselves to achieve the extraordinary. Here comes the ones who change things trying to get there faster where no one has gone. Making things happen delivering results without limits.

Here comes those who transform the present to conquer the businesses of the future, and the ones who release change through design. You must think, act, and behave with an owner's mentality that is permanently reinventing itself.

Here are those of us who want to make the imposible posible.

Our work place

You must be a natural team player and should feel comfortable working with professionals from diverse disciplines, backgrounds, and countries.

We embrace work-life balance: the well-being of our people is a priority for us.

A culture of learning and creating is promoted around the world: diversity will allow us to strengthen our impact.

We encourage innovation and disruption.

We understand that changes will occur, and that adaptability is essential to help when they do happen.

Collaboration is emphasized and rewarded.

Tu Rol

Si te apasiona el desarrollo de soluciones digitales centradas en usuarios, entonces nos interesa conocerte. Buscamos un Desarrollador Back End motivado y comprometido, con interés en el aprendizaje constante y el trabajo en equipo en un ambiente ágil.

En esta posición trabajarás junto a profesionales de primer nivel en el desarrollo de proyectos para importantes empresas en la región, los que desafiarán y potenciarán tus habilidades. Llevarás a cabo soluciones para diferentes tipologías de proyectos, dependiendo del requerimiento de nuestros clientes. Serás parte de un equipo que trabaja de manera flexible y con habilidades de primer nivel.

Responsabilidades
• Trabajar en conjunto con diseñadores y desarrolladores, asegurando la entrega de valor incremental y continua:
• Proponiendo soluciones nativas/híbridas e innovadoras a lo largo del proceso de diseño
• Traduciendo el diseño de interfaz de App o web a código aplicando buenas prácticas
• Participando activamente en el desarrollo sistemático de soluciones
• Documentando funcionalidades y especificaciones técnicas del software a implementar / implementadas

Habilidades y experiencias deseadas
• Diseño, desarrollo y mantener aplicaciones backend utilizando Java y Spring Boot
• Configurar y desplegar aplicaciones en contenedores OpenShift
• Nivel de madurez alto en AWS como proveedor de servicios Cloud. Ideal certificación Developer Asociate o Solutions Arquitect
• Conocimiento de Java 8+, Spring Boot/Cloud, Docker
• Conocimiento de Swagger y OpenAPI
• Conocimiento básico en Google Cloud Platform o nubes públicas como AWS o Azure
• Conocimiento de PaaS, deseable Kubernetes
• Conocimiento y experiencia de herramientas de Infraestructura como Código (IAC), tales como Terraform, Cloudformation, Ansible, etc
• Experiencia en desarrollo de arquitecturas orientada a micro servicios, integración y arquitectura, utilizando tecnología Serverless
• Conocimiento de Devops en general (Implementación de CI/CD con Github Actions, Jenkins, CI/CD Pipelines o afines)
• Manejo básico DevSecOps y herramientas de escaneo de código (SonarQube)
• Conocimiento básico de Mixpanel, Google Analytics, Appsflyer, Firebase y afines
• Deseable conocimiento básico de BPM y motores de reglas (Camunda, drools, etc.)
• Experiencia en test unitarios, al menos en la capa de dominio con Jest en NodeJS y ReactJS
• Experiencia con manejo de repositorios y despliegue de código (GITHUB, Bitbucket, etc)
• Manejo sólido de bases de datos (MySQL , MongoDB, PostgreSQL)
• Conocimientos de Back end (PHP, Java, .net) deseable
• Deseable conocimiento de programas de diseño (Adobe XD, Figma)
• Manejo sólido de PostMan y JMeter

Our benefits!

🚀 We are working on new rewards tailored to the market for 2025

👏 Your salary can be paid in USD.

🎁 My Birthday: Afternoon off on your birthday

🚚 Moving Day: we support that you can move in calmly and settle into your new home

🔎 Raven Hunters: You can recommend profiles that you know and that you think can make a perfect match with our organization

🐦⬛ Raven allows you to work remotely in your country.",No disponible
Backend Developer,Stefanini LATAM,Anywhere,Jobgether,"This a Full Remote job, the offer is available from: Chile

JOB DESCRIPTION

Descripción del puesto: Backend Developer en Java 17+, Spring Boot 3+, JUnit, Mockito para empresa de aerolíneas en entorno de nube GCP

Estamos en búsqueda de un desarrollador Backend con experiencia en Java 17+, Spring Boot 3+, JUnit, Mockito para un emocionante proyecto en el sector de aerolíneas. El candidato ideal deberá contar con sólidos conocimientos en el desarrollo de aplicaciones backend, así como experiencia en entornos de nube, preferiblemente en Google Cloud Platform (GCP).

RESPONSIBILITIES AND ASSIGNMENTS

Responsabilidades:
• Desarrollar y mantener aplicaciones backend utilizando Java 17+ y Spring Boot 3+.
• Diseñar y ejecutar pruebas unitarias con JUnit y Mockito.
• Colaborar con el equipo de desarrollo para garantizar la integración efectiva de los componentes backend.
• Implementar soluciones eficientes y escalables en entornos de nube, especialmente en Google Cloud Platform (GCP).
• Participar en la revisión de código y en la resolución de problemas técnicos.

REQUIREMENTS AND QUALIFICATIONS

Requisitos:
• Experiencia demostrable en el desarrollo de aplicaciones backend en Java 17+ y Spring Boot 3+.
• Conocimientos sólidos en pruebas unitarias con JUnit y Mockito.
• Experiencia previa en entornos de nube, preferiblemente en Google Cloud Platform (GCP).
• Capacidad para trabajar en equipo y comunicarse de manera efectiva.
• Proactividad y capacidad para resolver problemas de manera eficiente.

Conoce a Stefanini

Somos una empresa global con 35 años de experiencia en el mercado, ofrecemos una sólida selección de servicios como: automatización, nube, Internet de las cosas (IoT) y experiencia de usuario (UX).

Creemos que la tecnología puede revolucionar una empresa y la innovación es fundamental para fomentar el desarrollo y la competitividad. También valoramos las nuevas ideas y el poder de una mente abierta, por lo que reconocemos que cada talento es esencial para la calidad de nuestros proyectos y especialmente para nuestro progreso.

Mantenemos nuestra excelencia invirtiendo en innovaciones tecnológicas, las mejores alianzas, adquisiciones de empresas en todo el mundo y la contratación de profesionales altamente capacitados.

This offer from ""Stefanini LATAM"" has been enriched by Jobgether.com and got a 72% flex score.",No disponible
Junior Python Backend Developer,BairesDev LLC,"Horcón, Paiguano, Chile",Dive Into Python,"Company Overview

At BairesDev, we've been leading the way in technology projects for over 15 years. We deliver cutting-edge solutions to giants like Google and the most innovative startups in Silicon Valley. Our diverse 4,000 team, composed of the world's Top 1% of tech talent, works remotely on roles that drive significant impact worldwide. When you apply for this position, you're taking the first step in a process that goes beyond the ordinary. We aim to align your passions and skills with our vacancies, setting you on a path to exceptional career development and success.",No disponible
Front-end Developer,2Brains,"Las Condes, Chile",Taro,"Remote Front-end Developer position at 2Brains, focusing on internal platform development using Vue, TypeScript, and modern web technologies in an agile environment.",No disponible
Frontend Developer (REACT),Perform,Anywhere,Perform,"We are seeking a talented Frontend Developer with a strong focus on React to join our dynamic team. The ideal candidate will contribute to building and maintaining our web platform, with a particular emphasis on creating user-friendly interfaces and efficient admin portals.

Key Responsibilities:
• Develop and maintain a Content Management System (CMS) for non-technical users to easily adjust the platform
• Implement API requests for the admin portal
• Create efficient, reusable React components adhering to best practices and principles
• Translate Figma designs into high-quality, responsive code
• Collaborate with backend developers to integrate frontend components with server-side logic
• Participate in code reviews and contribute to improving our development processes

Required Skills and Qualifications:
• Proficient in React, with a solid understanding of fundamental concepts such as single responsibility components and separation of concerns
• Experience with Next.js framework
• Strong knowledge of Sass for advanced CSS styling
• Ability to accurately convert Figma designs into functional code
• Basic understanding of web requests, preferably using Axios
• Familiarity with git and version control practices

Preferred Qualifications:
• Experience with state management libraries (e.g., Redux, MobX)
• Knowledge of TypeScript
• Familiarity with server-side rendering and static site generation
• Understanding of web accessibility standards and best practices
• Experience with unit testing frameworks (e.g., Jest, React Testing Library)",No disponible
Sr Front-End Engineer,NotCo,"Santiago, Chile",Alt Protein Careers,"Hi! This is NotCo.

We are a group of people united by a very strong purpose.

We want you to get to know us, and Giuseppe, our very own artificial intelligence.

We love good food, but above all, we love the planet, and that's why, to protect it, we reinvent the food industry, one delicious bite at a time, elevating what we eat, through our technology and based on plants.

Our recipe has three super important components: science, technology and of course, disruptive talents who work daily to create a better future.

At NotCo we are not and do not seek to be the perfect company, but rather the right one. We've built a new AI that transforms the way people and companies create food.

We are currently looking for a Sr Front-End Engineer. This job involves designing, creating, and improving the software modules that currently support and drive the development of new products at NotCo.

In this role within the AI team, you will have the opportunity to work interdisciplinarily: you will participate in sessions with chefs, food scientists, designers, and engineers to find, design, and implement data-driven solutions in the context of new product development. We face many challenges to solve. For instance, you will learn about the world of food science and the food industry in general, including macromolecules, their structures, and functions; volatile compounds and their impact on consumer sensory perception; food development pipelines, and other aspects. Put simply, using AI to address challenges in the food industry represents a novel and game-changing approach.

Key responsibilities
• Design, implement, and deploy software modules that facilitate the data exchange within the Giuseppe ecosystem.
• Work alongside software engineers, product managers, chefs, food scientists, designers, machine learning engineers, & data scientists.
• Promote the use of proper software engineering practices by the team, investing in continuous improvements of our tools (e.g. platform & infra) and incrementally adding value to the Giuseppe platform.
• Manage timelines, estimate task durations, and meet deadlines.
• Document code and design decisions to support the rest of the team.
• Contribute working methodologies that improve the performance of our team.
• Participate in team meetings to present ideas, progress, and possible challenges.
• Provide strong technical direction to the team, resolving technical disagreements and managing the technical quality of the outputs. [perhaps this is not needed]

Requirements
• Minimum five years of professional experience.
• Expertise in web standards: HTML, CSS, and vanilla JavaScript.
• Proficiency in building complex, interactive web applications using Vue.js or similar frameworks.
• Well-versed in modern front-end tools and processes, including package managers, bundlers, test runners, linters, and formatters.
• Experience with Git workflows (e.g. gitflow or GitHub flow).
• Familiar with basic back-end development, SQL, and testing tools like Jest or Mocha, alongside CI/CD practices (e.g. GitHub Actions).
• Excellent soft skills for effective cross-disciplinary communication.
• Bilingual proficiency in Spanish and English: as part of a multicultural team spread across Santiago and San Francisco, English proficiency is essential.

If you share our vision and are eager to contribute to a transformative journey, we invite you to apply. Join us and make a difference!

The million-dollar question: Are you hungry to change the world? Because there are plenty of reasons to make the decision and say: WHY NOT!

Today you can start making a difference for the planet, without changing everything you love.",No disponible
Front-end Developer React SSR,Leniolabs_,"Providencia, Chile",Get On Board,"Leniolabs_ que ahora se llama Improving South America es una empresa internacional de desarrollo de software con miembros de equipos en Argentina, Chile, España, USA y Canadá.

Colaboramos en el desarrollo de software de nuestros clientes, sumándonos con nuestros equipos y estructura, trabajando directamente con los clientes.

Trabajamos con equipos distribuidos, de manera remota y colaborativa, utilizando herramientas como Slack, Zoom, HO, Jira, etc. Nuestra experiencia se basa fuertemente en frontend development (React, JS, Angular 4+). También trabajamos en desarrollo backend con Ruby on Rails, Python (classifiers y big data structures) y NodeJS.

Valoramos a los desarrolladores dinámicos en el aprendizaje de nuevas tecnologías para utilizarlas en los proyectos.

Funciones del cargo

Actualmente estamos en la búsqueda de perfiles React Developer SSR que se quieran unir a Leniolabs/Improving South America para trabajar con uno de nuestros clientes . Buscamos personas con muchas ganas de aprender, de sumar, con buena base de TypeScript, que tenga manejo de trabajo en equipo. Como ingeniero de software asociado (frontend - React), serás responsable de:
• Desarrollar, optimizar y mantener el frontend de la plataforma de investigación legal impulsada por IA.
• Trabajarás en estrecha colaboración con diseñadores, gerentes de productos e ingenieros de backend para crear aplicaciones web intuitivas y de alto rendimiento. Si bien el enfoque principal será el desarrollo de React,
• Familiaridad con Python para interacciones de API o contribuciones de pila completa es una gran ventaja.

Requerimientos del cargo
• Contar con 3 años en adelante de experiencia en desarrollo frontend con React y TypeScript.
• Sólido conocimiento de JavaScript moderno (ES6+), CSS y HTML5.
• Experiencia en administración de estados con herramientas como Redux, Zustand o React Context API.
• Familiaridad con diseño basado en componentes, Storybook y Tailwind CSS.
• Experiencia en integración con API RESTful y WebSockets.
• Comprensión de técnicas de optimización del rendimiento para aplicaciones frontend.
• Habilidades para la resolución de problemas y capacidad para trabajar de forma independiente.
• Contar con inglés intermedio-avanzado (B2/C1).

Nice to have
• Experiencia con marcos de prueba como Jest, React Testing Library o Cypress.
• Conocimientos básicos de Python (Django o FastAPI) para interactuar con servicios backend.
• Experiencia con GraphQL.
• Conocimientos en aplicaciones impulsadas por IA o tecnología legal.
• Exposición a herramientas DevOps (Docker, pipelines CI/CD).

Beneficios
• Salario dolarizado (Argentina).
• 100% Remoto.
• Posibilidad de recibir 2 bonos al año.
• 2 revisiones salariales al año.
• Clases de inglés.
• Cursos UDEMY.
• Budget para compra de libros.
• Budget para compra de materiales de trabajo.

Internal talks

Leniolabs_ offers space for internal talks or presentations during working hours.

Computer provided

Leniolabs_ provides a computer for your work.

Informal dress code

No dress code is enforced.

Vacation on birthday

Your birthday counts as an extra day of vacation.

Remote work policy

Locally remote only

Position is 100% remote, but candidates must reside in Chile, Peru, Argentina, Colombia or Uruguay.",No disponible
